1440 960
GROUND X2Y18;
GROUND X2Y17;
GROUND X2Y16;
GROUND X2Y15;
GROUND X2Y14;
GROUND X2Y13;
GROUND X2Y12;
GROUND X2Y11;
GROUND X2Y10;
GROUND X2Y9;
GROUND X2Y8;
GROUND X2Y7;
GROUND X2Y6;
GROUND X2Y5;
GROUND X2Y4;
GROUND X2Y3;
GROUND X2Y2;
GROUND X2Y1;
GROUND X2Y0;
GROUND X1Y29;
GROUND X1Y28;
GROUND X1Y27;
GROUND X1Y26;
GROUND X1Y25;
GROUND X1Y24;
GROUND X1Y23;
GROUND X1Y22;
GROUND X1Y21;
GROUND X1Y20;
GROUND X1Y19;
GROUND X1Y18;
GROUND X1Y17;
GROUND X1Y16;
GROUND X1Y15;
GROUND X1Y14;
GROUND X1Y13;
GROUND X1Y12;
GROUND X1Y11;
GROUND X1Y10;
GROUND X1Y9;
GROUND X1Y8;
GROUND X1Y7;
GROUND X1Y6;
GROUND X1Y5;
GROUND X1Y4;
GROUND X1Y3;
GROUND X1Y2;
GROUND X1Y1;
GROUND X1Y0;
GROUND X0Y29;
GROUND X0Y28;
GROUND X0Y27;
GROUND X0Y26;
GROUND X0Y25;
GROUND X0Y24;
GROUND X0Y23;
GROUND X0Y22;
GROUND X0Y21;
GROUND X0Y20;
GROUND X0Y19;
GROUND X0Y18;
GROUND X0Y17;
GROUND X0Y16;
GROUND X0Y15;
GROUND X0Y14;
GROUND X0Y13;
GROUND X0Y12;
GROUND X0Y11;
GROUND X0Y10;
GROUND X0Y9;
GROUND X0Y8;
GROUND X0Y7;
GROUND X0Y6;
GROUND X0Y5;
GROUND X0Y4;
GROUND X0Y3;
GROUND X0Y2;
GROUND X0Y1;
GROUND X0Y0;
ROAD X18Y4;
ROAD X19Y4;
ROAD X20Y4;
CASTLE X17Y0;
ROAD X18Y5;
ROAD X19Y5;
ROAD X20Y5;
ROAD X20Y6;
ROAD X20Y7;
ROAD X19Y6;
ROAD X18Y6;
ROAD X18Y7;
ROAD X19Y7;
ROAD X19Y8;
ROAD X18Y8;
ROAD X20Y8;
ROAD X20Y9;
ROAD X19Y9;
ROAD X19Y10;
ROAD X19Y11;
ROAD X18Y10;
ROAD X18Y9;
ROAD X18Y11;
ROAD X20Y11;
ROAD X20Y10;
ROAD X21Y11;
ROAD X22Y11;
ROAD X23Y11;
ROAD X23Y10;
ROAD X22Y10;
ROAD X21Y10;
ROAD X24Y10;
ROAD X25Y10;
ROAD X26Y10;
ROAD X27Y10;
ROAD X28Y10;
ROAD X29Y10;
ROAD X30Y10;
ROAD X29Y11;
ROAD X28Y11;
ROAD X27Y11;
ROAD X26Y11;
ROAD X25Y11;
ROAD X24Y11;
ROAD X30Y11;
ROAD X31Y11;
ROAD X32Y11;
ROAD X31Y10;
ROAD X32Y10;
ROAD X33Y10;
ROAD X34Y10;
ROAD X34Y11;
ROAD X33Y11;
TEMPLE X32Y7;
ROAD X26Y12;
ROAD X26Y13;
ROAD X26Y14;
ROAD X25Y14;
ROAD X25Y15;
ROAD X26Y15;
ROAD X26Y16;
ROAD X25Y13;
ROAD X25Y12;
ROAD X25Y16;
ROAD X25Y17;
ROAD X25Y18;
ROAD X26Y17;
ROAD X26Y18;
ROAD X27Y18;
ROAD X28Y18;
ROAD X29Y18;
ROAD X30Y18;
ROAD X31Y18;
ROAD X32Y18;
ROAD X33Y18;
ROAD X34Y18;
ROAD X35Y18;
ROAD X35Y19;
ROAD X34Y19;
ROAD X33Y19;
ROAD X28Y19;
ROAD X27Y19;
ROAD X26Y19;
ROAD X25Y19;
ROAD X29Y19;
ROAD X30Y19;
ROAD X31Y19;
ROAD X32Y19;
PREENEMYHOME X33Y15;
LAMP X32Y16;
LAMP X31Y8;
LAMP X16Y3;
ROAD X17Y8;
ROAD X16Y8;
ROAD X15Y8;
ROAD X14Y8;
ROAD X13Y8;
ROAD X12Y8;
ROAD X11Y8;
ROAD X10Y8;
ROAD X9Y8;
ROAD X8Y8;
ROAD X7Y8;
ROAD X6Y8;
ROAD X5Y8;
ROAD X4Y8;
ROAD X4Y7;
ROAD X5Y7;
ROAD X6Y7;
ROAD X7Y7;
ROAD X8Y7;
ROAD X9Y7;
ROAD X10Y7;
ROAD X11Y7;
ROAD X12Y7;
ROAD X13Y7;
ROAD X14Y7;
ROAD X15Y7;
ROAD X16Y7;
ROAD X17Y7;
TEMPLE X7Y4;
FOREST1 X7Y1;
FOREST1 X10Y1;
FOREST1 X3Y1;
FOREST1 X5Y0;
FOREST1 X1Y2;
FOREST1 X0Y5;
ROCK X3Y6;
ROCK X3Y4;
ROCK X4Y4;
ROCK X7Y13;
ROCK X9Y17;
ROCK X16Y17;
ROAD X11Y9;
ROAD X11Y10;
ROAD X11Y11;
ROAD X11Y12;
ROAD X11Y13;
ROAD X11Y14;
ROAD X11Y15;
ROAD X10Y15;
ROAD X9Y15;
ROAD X8Y15;
ROAD X7Y15;
ROAD X6Y15;
ROAD X5Y15;
ROAD X4Y15;
ROAD X4Y14;
ROAD X5Y14;
ROAD X6Y14;
ROAD X7Y14;
ROAD X8Y14;
ROAD X9Y14;
ROAD X10Y14;
HOME X4Y12;
ROAD X10Y9;
ROAD X10Y10;
ROAD X10Y11;
ROAD X10Y12;
ROAD X10Y13;
ROAD X19Y12;
ROAD X19Y13;
ROAD X19Y14;
ROAD X19Y15;
ROAD X19Y16;
ROAD X19Y17;
ROAD X19Y18;
ROAD X19Y19;
ROAD X19Y20;
ROAD X19Y21;
ROAD X19Y22;
ROAD X18Y21;
ROAD X17Y21;
ROAD X16Y21;
ROAD X15Y21;
ROAD X14Y21;
ROAD X13Y21;
ROAD X12Y21;
ROAD X11Y21;
ROAD X10Y21;
ROAD X9Y21;
ROAD X9Y22;
ROAD X10Y22;
ROAD X11Y22;
ROAD X12Y22;
ROAD X13Y22;
ROAD X14Y22;
ROAD X15Y22;
ROAD X16Y22;
ROAD X17Y22;
ROAD X18Y22;
ROAD X18Y20;
ROAD X18Y19;
ROAD X18Y18;
ROAD X18Y17;
ROAD X18Y16;
ROAD X18Y15;
ROAD X18Y14;
ROAD X18Y13;
ROAD X18Y12;
SHOP X9Y19;
LAMP X8Y19;
LAMP X3Y12;
LAMP X23Y3;
LAMP X6Y5;
LAMP X1Y9;
LAMP X1Y17;
LAMP X1Y24;
LAMP X43Y8;
LAMP X43Y17;
LAMP X43Y24;
LAMP X27Y16;
LAMP X21Y8;
LAMP X12Y14;
LAMP X17Y19;
ROCK X19Y23;
ROCK X22Y22;
ROCK X32Y23;
HOME X29Y21;
ROAD X25Y20;
ROAD X25Y21;
ROAD X25Y22;
ROAD X25Y23;
ROAD X26Y23;
ROAD X27Y23;
ROAD X28Y23;
ROAD X29Y23;
ROAD X26Y20;
ROAD X26Y21;
ROAD X26Y22;
ROAD X25Y24;
ROAD X26Y24;
ROAD X27Y24;
ROAD X28Y24;
ROAD X29Y24;
ROAD X30Y24;
ROAD X30Y23;
FOREST1 X13Y27;
FOREST1 X10Y27;
FOREST1 X6Y27;
TREE X0Y27;
TREE X1Y27;
TREE X1Y26;
TREE X2Y26;
TREE X3Y26;
TREE X4Y27;
TREE X4Y28;
TREE X3Y28;
TREE X3Y29;
TREE X2Y29;
TREE X2Y28;
TREE X1Y28;
TREE X0Y28;
TREE X3Y27;
TREE X2Y27;
TREE X0Y29;
TREE X1Y29;
TREE X4Y29;
TREE X44Y26;
TREE X43Y26;
TREE X42Y26;
TREE X41Y26;
TREE X40Y26;
TREE X39Y26;
TREE X38Y26;
TREE X37Y26;
TREE X36Y26;
TREE X35Y27;
TREE X34Y27;
TREE X34Y28;
TREE X35Y28;
TREE X35Y29;
TREE X36Y29;
TREE X37Y29;
TREE X38Y29;
TREE X39Y28;
TREE X40Y28;
TREE X41Y28;
TREE X42Y28;
TREE X42Y27;
TREE X43Y27;
TREE X44Y27;
TREE X44Y28;
TREE X44Y29;
TREE X43Y29;
TREE X42Y29;
TREE X41Y29;
TREE X40Y29;
TREE X39Y29;
TREE X38Y28;
TREE X37Y28;
TREE X36Y28;
TREE X36Y27;
TREE X37Y27;
TREE X38Y27;
TREE X39Y27;
TREE X40Y27;
TREE X41Y27;
TREE X36Y0;
TREE X37Y0;
TREE X37Y1;
TREE X38Y2;
TREE X39Y2;
TREE X39Y3;
TREE X40Y3;
TREE X41Y4;
TREE X42Y4;
TREE X43Y5;
TREE X44Y5;
TREE X44Y6;
TREE X44Y2;
TREE X44Y1;
TREE X44Y0;
TREE X43Y0;
TREE X42Y0;
TREE X41Y0;
TREE X40Y0;
TREE X39Y0;
TREE X38Y0;
TREE X43Y1;
TREE X43Y2;
TREE X43Y3;
TREE X43Y4;
TREE X42Y3;
TREE X41Y2;
TREE X40Y1;
TREE X41Y1;
TREE X42Y1;
TREE X44Y3;
TREE X44Y4;
TREE X1Y1;
TREE X0Y2;
TREE X0Y3;
TREE X0Y1;
TREE X0Y0;
TREE X1Y0;
TREE X2Y0;
TREE X3Y0;
TREE X4Y0;
TREE X8Y0;
TREE X7Y0;
FOREST1 X22Y0;
FOREST1 X24Y0;
FOREST1 X27Y0;
FOREST1 X29Y1;
FOREST2 X31Y0;
FOREST2 X33Y1;
TREE X26Y2;
TREE X26Y1;
TREE X16Y2;
TREE X15Y2;
TREE X14Y2;
TREE X13Y2;
TREE X12Y2;
TREE X12Y1;
TREE X15Y1;
TREE X16Y1;
TREE X13Y0;
TREE X14Y1;
TREE X13Y1;
TREE X11Y0;
TREE X10Y0;
TREE X9Y0;
TREE X9Y1;
TREE X9Y2;
TREE X12Y0;
TREE X15Y0;
TREE X16Y0;
TREE X14Y0;
TREE X13Y3;
TREE X12Y3;
TREE X14Y3;
TREE X15Y3;
TREE X5Y28;
TREE X5Y27;
TREE X5Y29;
TREE X0Y26;
TREE X0Y24;
TREE X0Y25;
TREE X0Y23;
TREE X2Y25;
TREE X4Y26;
TREE X20Y15;
TREE X20Y16;
TREE X20Y17;
TREE X20Y18;
TREE X20Y19;
TREE X20Y20;
TREE X20Y21;
TREE X20Y22;
FOREST1 X38Y15;
FOREST1 X40Y13;
FOREST1 X42Y11;
FOREST1 X40Y18;
STRAW X1Y14;
STRAW X16Y28;
STRAW X43Y14;
STRAW X40Y5;
